                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.82898,                 1.4186,                 1.7644,                 1.1576,                0.31558,                0.22424,                0.23909,                0.14905,                0.31641,                0.20907,                0.21566,                0.13216,                 1.6012,                 4.7651,                 3.1997,                 1.7912,             0.00080551,             0.00080551,             0.00080551
                     25,                 0.8583,                 1.5275,                 1.6524,                 1.1548,                0.46706,                 0.2097,                0.19936,                0.12203,                0.46559,                0.20769,                0.18403,                0.11169,                 1.6757,                 4.5386,                 3.2414,                 1.8572,             0.00080101,             0.00080101,             0.00080101
                     26,                0.84124,                 1.4876,                 1.6657,                  1.117,                0.41243,                0.19365,                0.16691,                0.08961,                 0.5538,                0.15714,                0.15226,                0.07329,                 1.7525,                 4.6443,                 3.3607,                 1.9062,             0.00079651,             0.00079651,             0.00079651
                     27,                0.83154,                 1.3776,                  1.595,                 1.1238,                0.27991,                0.19762,                0.13535,                0.07258,                0.23617,                   0.15,                0.10495,                0.05441,                 1.6741,                 5.1734,                 3.3758,                 1.8725,             0.00079201,             0.00079201,             0.00079201
                     28,                0.81749,                  1.309,                 1.5706,                 1.1402,                 0.7511,                0.12178,                0.18709,                0.13841,                 0.7511,                0.12178,                 0.1586,                0.10222,                 1.5478,                 5.4563,                 3.2216,                 1.7936,             0.00078751,             0.00078751,             0.00078751
                     29,                0.80242,                 1.3621,                 1.4113,                 1.0974,                0.12604,                 0.2184,                0.13236,                0.06453,                0.74216,                0.06905,                0.09637,                0.04361,                 1.6768,                 5.6796,                 3.3524,                 1.8677,             0.00078301,             0.00078301,             0.00078301
                     30,                0.80659,                 1.2925,                 1.5083,                 1.1243,                0.18731,                0.19388,                0.13925,                0.05639,                0.08327,                0.11403,                0.08366,                0.01974,                 1.7804,                 6.7453,                 3.3112,                 1.9483,             0.00077851,             0.00077851,             0.00077851
                     31,                0.83186,                 1.4527,                 1.5524,                 1.1765,                0.13433,                0.22623,                0.15324,                0.06022,                0.09823,                0.13382,                0.07908,                0.02019,                 1.7895,                 7.1825,                  3.216,                 1.9864,             0.00077401,             0.00077401,             0.00077401
                     32,                0.75702,                 1.3183,                 1.3764,                 1.0856,                0.18098,                0.24396,                0.17596,                 0.1062,                0.16302,                0.20292,                0.15515,                0.09415,                 1.7658,                 6.0252,                 3.2489,                 2.0455,             0.00076951,             0.00076951,             0.00076951
                     33,                0.77806,                 1.3926,                 1.3973,                 1.1067,                0.19962,                0.23219,                0.18914,                0.10982,                0.17071,                0.22186,                0.17099,                0.09544,                   1.68,                 5.1628,                 3.2887,                 1.9783,             0.00076501,             0.00076501,             0.00076501
                     34,                0.79083,                 1.2153,                 1.4158,                 1.0925,                0.15343,                 0.2102,                0.14783,                  0.082,                0.16231,                0.24462,                0.14605,                0.07885,                 1.6251,                 4.8186,                 3.2792,                 1.8796,             0.00076051,             0.00076051,             0.00076051
                     35,                0.78405,                 1.2343,                 1.3601,                 1.1159,                0.20228,                0.15344,                0.13187,                0.08232,                0.19674,                0.14553,                0.13491,                0.07517,                 1.6166,                 4.9149,                 3.2852,                 1.8343,             0.00075602,             0.00075602,             0.00075602
                     36,                0.77622,                 1.2092,                 1.3011,                 1.0895,                0.37815,                0.16226,                0.16535,                0.10607,                0.36914,                0.16396,                0.16262,                0.10056,                 1.5897,                 5.3026,                 3.4716,                 1.8631,             0.00075152,             0.00075152,             0.00075152
                     37,                0.75851,                  1.153,                 1.3182,                 1.1001,                0.15643,                0.28814,                0.17794,                0.11786,                0.39629,                0.15825,                0.18507,                0.11136,                 1.6094,                 5.4658,                 3.3504,                 1.9827,             0.00074702,             0.00074702,             0.00074702
                     38,                0.70776,                 1.0605,                 1.2616,                 1.0742,                0.16128,                0.25416,                0.17148,                0.09008,                0.12698,                0.22333,                0.16673,                0.09331,                 1.7821,                 5.5207,                 3.3312,                 2.1627,             0.00074252,             0.00074252,             0.00074252
