                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.70661,                 1.1081,                 1.0191,                 1.0524,                0.23176,                0.23879,                 0.1739,                  0.118,                0.23632,                0.24763,                 0.1513,                0.08432,                 1.6473,                 5.4533,                 3.2605,                 1.8609,             0.00070202,             0.00070202,             0.00070202
                     25,                0.66872,                 1.0592,                0.98578,                 1.0608,                0.25002,                0.21234,                0.16141,                0.10089,                0.25793,                 0.1594,                0.14675,                0.09091,                 1.6527,                 5.4408,                 3.1355,                 1.9224,             0.00069302,             0.00069302,             0.00069302
                     26,                0.66031,                 1.0245,                0.95237,                 1.0523,                0.24455,                0.28246,                0.20129,                0.13031,                0.20738,                0.25339,                0.16651,                 0.0943,                 1.5788,                  5.361,                 2.9624,                 1.8063,             0.00068402,             0.00068402,             0.00068402
                     27,                0.68512,                  1.134,                  0.978,                 1.0431,                0.26005,                0.22113,                0.18497,                 0.1187,                0.24526,                0.21014,                0.16003,                0.08673,                 1.4339,                 4.4395,                 2.9695,                 1.6755,             0.00067502,             0.00067502,             0.00067502
                     28,                0.68323,                 1.1003,                0.95474,                 1.0428,                0.30375,                0.26579,                0.18916,                0.11712,                0.27165,                0.22735,                0.16127,                 0.0882,                 1.7313,                 5.1251,                 3.2187,                 1.9073,             0.00066602,             0.00066602,             0.00066602
                     29,                0.65097,                0.95833,                0.89824,                 1.0286,                0.25805,                0.27492,                0.20168,                0.12123,                0.23969,                0.25388,                 0.1851,                0.09117,                 1.6871,                 5.1732,                  3.225,                 1.8465,             0.00065703,             0.00065703,             0.00065703
                     30,                0.65436,                0.98132,                 0.8908,                 1.0265,                0.24404,                0.27715,                0.26194,                 0.1585,                0.31263,                0.16641,                0.20265,                 0.1207,                 1.5696,                 5.3324,                 2.9864,                 1.8362,             0.00064803,             0.00064803,             0.00064803
                     31,                0.62306,                 0.9938,                0.90324,                 1.0197,                0.37067,                0.23484,                0.21773,                0.16507,                0.33825,                0.22367,                0.19014,                0.12852,                 1.5174,                 4.9863,                 3.0405,                 1.8066,             0.00063903,             0.00063903,             0.00063903
                     32,                0.64853,                0.97655,                 0.8482,                   1.03,                0.14969,                0.27139,                0.19873,                0.12636,                0.14103,                 0.2604,                 0.1865,                0.11308,                 1.5598,                  5.001,                 3.2543,                 1.8082,             0.00063003,             0.00063003,             0.00063003
                     33,                0.63787,                0.93924,                0.81451,                 1.0116,                0.24001,                0.28132,                0.19894,                 0.1202,                0.19811,                0.27559,                0.17515,                0.10298,                 1.6386,                 5.2495,                 3.2229,                  1.893,             0.00062103,             0.00062103,             0.00062103
                     34,                0.60113,                0.81914,                0.81149,                 1.0178,                0.24904,                0.26737,                0.20603,                 0.1202,                0.22382,                0.23654,                0.17867,                0.09649,                 1.5098,                 4.8331,                 2.9565,                 1.6905,             0.00061203,             0.00061203,             0.00061203
                     35,                0.60471,                0.90867,                0.78883,                 1.0049,                0.30685,                0.26391,                0.22987,                 0.1432,                0.28175,                0.21681,                0.19494,                0.10166,                 1.4674,                 4.6805,                  2.769,                 1.6865,             0.00060303,             0.00060303,             0.00060303
                     36,                0.60036,                0.94851,                0.78814,                 1.0034,                0.27364,                0.33432,                0.27407,                0.19441,                0.39944,                0.20505,                0.24294,                0.15443,                 1.4917,                 4.6258,                 2.8435,                 1.6999,             0.00059403,             0.00059403,             0.00059403
                     37,                0.58977,                0.82834,                0.77151,                0.99837,                0.23363,                0.26755,                0.22583,                0.15056,                0.21839,                0.22512,                0.18575,                0.12068,                 1.4958,                 4.4638,                 3.0412,                  1.678,             0.00058503,             0.00058503,             0.00058503
                     38,                0.59656,                0.89932,                0.77728,                 1.0085,                0.33447,                0.27031,                0.21866,                0.15148,                0.31438,                0.25047,                0.19428,                0.11699,                 1.4716,                 4.3659,                  2.815,                 1.6675,             0.00057603,             0.00057603,             0.00057603
                     39,                0.58674,                0.85803,                0.76048,                 0.9906,                0.19592,                0.30901,                0.21119,                0.13567,                0.18943,                0.29872,                0.19457,                0.10735,                 1.4224,                 4.5443,                  2.888,                 1.7057,             0.00056703,             0.00056703,             0.00056703
                     40,                0.56116,                0.82423,                0.74688,                0.99096,                0.38259,                0.30728,                 0.2414,                0.15384,                0.36385,                0.29934,                0.23103,                0.12935,                 1.4954,                 4.1996,                 2.9131,                 1.7512,             0.00055804,             0.00055804,             0.00055804
                     41,                0.57772,                0.84065,                0.72661,                0.99215,                0.34237,                0.33642,                0.26243,                0.19016,                0.29124,                0.29168,                0.23055,                0.14871,                 1.5207,                 4.2877,                 3.0258,                 1.7706,             0.00054904,             0.00054904,             0.00054904
                     42,                0.58594,                0.89901,                0.72893,                 0.9953,                0.22455,                0.25859,                0.22597,                0.17608,                 0.2376,                0.21142,                0.20068,                0.12311,                 1.5678,                 4.5546,                  3.206,                 1.7865,             0.00054004,             0.00054004,             0.00054004
                     43,                 0.5849,                 0.8186,                0.73952,                0.99071,                 0.2523,                0.19835,                0.19107,                0.14682,                0.21095,                0.17715,                0.17649,                 0.1102,                 1.5845,                 4.5752,                 3.2842,                 1.7711,             0.00053104,             0.00053104,             0.00053104
                     44,                 0.5452,                0.79578,                0.71481,                0.98447,                0.19616,                0.22554,                0.20801,                0.14477,                0.16039,                0.18983,                0.16372,                0.11112,                  1.454,                 4.3208,                 3.1886,                 1.6837,             0.00052204,             0.00052204,             0.00052204
                     45,                0.55902,                0.83749,                0.69359,                0.97701,                0.23518,                0.27368,                0.25243,                 0.1758,                0.23846,                0.21845,                0.20826,                0.14524,                 1.4928,                 4.2999,                 2.9541,                 1.6954,             0.00051304,             0.00051304,             0.00051304
                     46,                0.55015,                0.81103,                 0.6823,                0.99341,                0.27072,                0.28542,                0.23842,                0.16712,                 0.2276,                0.26258,                0.19418,                0.13225,                 1.5669,                 3.8871,                 3.0344,                 1.7691,             0.00050404,             0.00050404,             0.00050404
                     47,                0.57083,                0.80908,                0.69981,                 1.0029,                 0.3399,                0.30267,                0.27063,                0.18545,                0.26738,                 0.2973,                0.23874,                0.14818,                 1.5336,                 3.8137,                 2.8693,                 1.7523,             0.00049504,             0.00049504,             0.00049504
                     48,                0.52575,                0.76994,                0.67354,                0.97424,                 0.4555,                0.24185,                0.26882,                0.18441,                0.35562,                 0.2257,                0.23789,                0.13634,                 1.5071,                   3.93,                 3.0074,                  1.767,             0.00048604,             0.00048604,             0.00048604
                     49,                0.52911,                0.74643,                0.64221,                0.97396,                0.43873,                0.19549,                0.24184,                0.15423,                0.35769,                 0.1739,                0.20851,                 0.1138,                  1.559,                 4.0578,                 3.1817,                 1.7755,             0.00047704,             0.00047704,             0.00047704
                     50,                0.53325,                0.74541,                0.65444,                0.97628,                0.23485,                0.23856,                0.20913,                0.14594,                0.20943,                0.22199,                0.18413,                0.10361,                 1.5056,                  4.321,                 3.1388,                 1.7672,             0.00046804,             0.00046804,             0.00046804
                     51,                0.53055,                0.78401,                 0.6565,                 0.9659,                0.29359,                0.22945,                0.20318,                0.14116,                 0.3023,                 0.2158,                0.18759,                0.10987,                 1.4735,                 4.4745,                 3.1634,                 1.6844,             0.00045904,             0.00045904,             0.00045904
                     52,                 0.5316,                0.77166,                0.64904,                0.96053,                0.37974,                0.26246,                0.25046,                0.16895,                0.36367,                0.24878,                0.22681,                0.13483,                 1.4486,                  4.545,                 3.0135,                 1.6612,             0.00045005,             0.00045005,             0.00045005
                     53,                0.50627,                0.73478,                0.63772,                0.96768,                0.44686,                0.30862,                 0.2795,                0.20868,                0.42839,                0.31023,                0.26168,                  0.156,                 1.3799,                 4.6362,                 2.9005,                 1.6425,             0.00044105,             0.00044105,             0.00044105
                     54,                0.50796,                0.74831,                0.61116,                0.96099,                0.51321,                0.26622,                0.27436,                0.18808,                0.46466,                0.23238,                0.24166,                0.13532,                 1.4525,                 4.9381,                 2.9273,                 1.7058,             0.00043205,             0.00043205,             0.00043205
                     55,                0.51635,                0.76141,                    0.6,                0.95798,                0.46858,                0.28762,                0.27009,                0.16747,                0.37823,                0.23258,                0.20478,                0.12312,                 1.4629,                  4.556,                 3.0945,                 1.7157,             0.00042305,             0.00042305,             0.00042305
                     56,                0.51558,                0.71429,                0.60395,                0.95857,                0.26734,                0.30523,                0.21275,                0.14704,                0.29436,                0.20007,                0.17654,                0.11012,                 1.4886,                 4.4141,                 3.1556,                 1.7253,             0.00041405,             0.00041405,             0.00041405
                     57,                0.51658,                0.73805,                 0.6125,                0.96029,                0.28791,                0.29504,                0.24206,                0.17416,                0.26555,                0.27512,                0.22389,                0.13237,                 1.5355,                 4.5319,                 3.1833,                 1.7756,             0.00040505,             0.00040505,             0.00040505
                     58,                 0.5154,                0.75041,                0.62268,                 0.9687,                 0.2902,                0.31176,                0.24429,                  0.182,                0.26601,                0.28262,                0.22055,                0.13896,                  1.452,                 4.4511,                 3.2214,                 1.7181,             0.00039605,             0.00039605,             0.00039605
                     59,                0.48883,                0.73381,                0.58936,                0.94151,                 0.3012,                0.32209,                0.26074,                0.18789,                 0.2554,                0.28654,                0.21911,                0.14014,                 1.3869,                 4.3349,                 3.1237,                 1.6885,             0.00038705,             0.00038705,             0.00038705
                     60,                0.49746,                0.73561,                0.58048,                 0.9542,                0.31542,                0.35742,                 0.2752,                0.21023,                0.28977,                0.32832,                0.25475,                 0.1584,                 1.3328,                 4.2418,                 3.0407,                 1.6403,             0.00037805,             0.00037805,             0.00037805
                     61,                0.50332,                0.73779,                0.58007,                0.95809,                0.28878,                0.39155,                0.31032,                0.23201,                0.24308,                 0.3615,                0.29018,                 0.1803,                 1.2796,                 4.0968,                 2.6689,                 1.5837,             0.00036905,             0.00036905,             0.00036905
                     62,                0.47617,                0.69005,                0.55149,                0.94729,                0.32179,                0.37974,                0.33278,                 0.2434,                0.28163,                0.36903,                0.29951,                0.18655,                 1.2284,                 4.2739,                 2.5437,                 1.5193,             0.00036005,             0.00036005,             0.00036005
                     63,                0.45118,                0.64489,                0.55892,                0.93414,                0.34208,                0.33202,                0.31747,                0.23271,                0.45226,                0.26101,                 0.2937,                0.18213,                 1.2299,                 4.3106,                 2.6072,                 1.5193,             0.00035106,             0.00035106,             0.00035106
                     64,                0.48219,                0.68534,                0.55913,                0.95062,                0.37853,                0.32816,                0.29876,                0.21042,                0.38689,                0.26033,                0.27538,                0.17404,                 1.3473,                 4.5343,                 2.8026,                  1.639,             0.00034206,             0.00034206,             0.00034206
                     65,                0.47095,                0.67913,                0.55879,                 0.9474,                0.39261,                0.30158,                0.29515,                0.21537,                0.37033,                0.28161,                0.28533,                0.18068,                 1.3834,                 4.7566,                 2.9069,                 1.6829,             0.00033306,             0.00033306,             0.00033306
                     66,                 0.4488,                0.64625,                0.55208,                0.94317,                0.31141,                  0.311,                0.29419,                0.20668,                0.27303,                0.28623,                0.26917,                0.16865,                 1.4489,                 4.6849,                 2.9416,                 1.7429,             0.00032406,             0.00032406,             0.00032406
                     67,                0.44908,                0.72664,                0.52299,                0.93212,                 0.3724,                0.31205,                0.28627,                0.19315,                0.32255,                0.27788,                0.25491,                0.16762,                 1.4895,                 4.7276,                 3.0688,                 1.7669,             0.00031506,             0.00031506,             0.00031506
                     68,                0.46172,                0.72373,                0.53343,                0.94213,                0.45118,                0.26423,                0.28647,                 0.2014,                0.36138,                0.23178,                0.25833,                0.16372,                 1.4105,                 4.5397,                  3.056,                 1.6526,             0.00030606,             0.00030606,             0.00030606
                     69,                0.47611,                0.72229,                0.56877,                0.94423,                0.32419,                0.31337,                0.29025,                0.21507,                0.26866,                0.26787,                0.25752,                0.16869,                 1.3259,                 4.3094,                  2.982,                 1.6112,             0.00029706,             0.00029706,             0.00029706
                     70,                 0.4885,                0.70564,                0.52993,                0.94547,                0.32274,                 0.3091,                 0.3071,                0.23501,                 0.4143,                0.22284,                0.27629,                0.18166,                 1.3586,                 4.3133,                  2.892,                 1.6448,             0.00028806,             0.00028806,             0.00028806
                     71,                 0.4456,                0.65097,                 0.5321,                 0.9427,                0.50485,                0.25376,                0.29026,                0.22759,                 0.4162,                0.23934,                0.26319,                0.16798,                  1.393,                 4.3383,                 2.8604,                 1.6758,             0.00027906,             0.00027906,             0.00027906
                     72,                 0.4462,                0.66477,                0.52468,                0.92944,                0.30381,                0.27411,                0.25614,                0.20126,                0.27414,                0.25519,                0.23164,                0.15573,                 1.4885,                 4.3481,                  3.213,                 1.7036,             0.00027006,             0.00027006,             0.00027006
                     73,                0.43478,                0.66475,                0.51075,                0.93952,                0.31747,                0.22802,                0.22142,                0.16126,                0.26182,                 0.2055,                0.20237,                0.12854,                 1.4731,                 4.4511,                 3.3492,                 1.7347,             0.00026106,             0.00026106,             0.00026106
                     74,                0.41826,                0.63003,                 0.4736,                0.92571,                 0.2216,                0.20832,                 0.1993,                0.13992,                0.19592,                0.19093,                0.18057,                0.11076,                  1.494,                 4.6466,                 3.4414,                 1.7425,             0.00025207,             0.00025207,             0.00025207
                     75,                0.41231,                0.59213,                0.50293,                0.92725,                0.29066,                0.25638,                0.22272,                0.16062,                0.26775,                0.23491,                 0.2014,                 0.1249,                 1.3914,                 4.7157,                 3.4082,                 1.6332,             0.00024307,             0.00024307,             0.00024307
                     76,                0.43035,                0.60627,                0.48368,                0.92206,                 0.2705,                0.26753,                0.23939,                0.17681,                0.57599,                0.17535,                0.22185,                0.13685,                 1.4143,                 4.8184,                 3.2819,                 1.6527,             0.00023407,             0.00023407,             0.00023407
                     77,                0.42229,                0.62758,                0.48613,                 0.9266,                0.31856,                0.26844,                0.24709,                0.17683,                0.28896,                0.24555,                0.22384,                0.13907,                  1.483,                 4.7097,                 3.3091,                 1.7227,             0.00022507,             0.00022507,             0.00022507
                     78,                0.41889,                0.64885,                0.48953,                0.91849,                0.30872,                0.26676,                0.25039,                0.17937,                0.25442,                0.23423,                 0.2257,                0.14191,                 1.4505,                 4.5915,                 3.2798,                 1.7188,             0.00021607,             0.00021607,             0.00021607
                     79,                0.42382,                0.58307,                0.48268,                0.92208,                0.33093,                0.28555,                 0.2713,                0.19212,                0.27511,                0.26264,                0.25044,                0.15297,                 1.4805,                 4.4109,                 3.3156,                 1.7389,             0.00020707,             0.00020707,             0.00020707
                     80,                0.43844,                0.63833,                0.50872,                0.93907,                0.35703,                0.29031,                0.24622,                0.18157,                0.28648,                0.27791,                0.22734,                0.14476,                  1.464,                 4.4625,                 3.2841,                 1.7365,             0.00019807,             0.00019807,             0.00019807
                     81,                0.42797,                0.65662,                0.49166,                0.93285,                0.35053,                0.30098,                0.24503,                0.18802,                 0.3236,                0.27808,                 0.2272,                0.14379,                 1.4772,                 4.6759,                 3.3053,                 1.7575,             0.00018907,             0.00018907,             0.00018907
                     82,                0.41005,                0.59672,                0.47456,                0.92075,                0.32585,                  0.279,                0.24561,                0.19033,                 0.2963,                0.28548,                0.22908,                0.14778,                 1.4931,                 4.7995,                 3.2966,                 1.7497,             0.00018007,             0.00018007,             0.00018007
                     83,                0.43307,                 0.6453,                0.50181,                0.93657,                0.34203,                0.30238,                0.25089,                0.18492,                 0.2928,                  0.279,                0.22222,                0.14413,                  1.484,                 4.6051,                 3.2894,                 1.7358,             0.00017107,             0.00017107,             0.00017107
                     84,                 0.4129,                0.65144,                0.48926,                0.92198,                0.35533,                0.28108,                0.25427,                0.18835,                0.30854,                0.27366,                0.22966,                0.14261,                 1.4611,                 4.4318,                 3.2809,                 1.7046,             0.00016207,             0.00016207,             0.00016207
