                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0323,                 3.6743,                 3.7862,                 1.3911,                0.00098,                0.33333,                0.00235,                0.00107,                0.00073,                0.27778,                 0.0009,                0.00067,                 1.8648,                 5.2309,                  3.887,                  2.237,                  1e-05,                  1e-05,                  1e-05
                      2,                 1.2944,                 3.8607,                 3.8517,                 1.4347,                0.00092,                0.33333,                0.00706,                0.00345,                0.00069,                0.27778,                0.00406,                0.00275,                 1.8321,                 5.2381,                 3.8774,                 2.1527,             2.9901e-05,             2.9901e-05,             2.9901e-05
                      3,                0.82816,                 2.9472,                 3.5389,                  1.237,                0.00094,                0.33333,                0.00321,                0.00184,                 0.0007,                0.27778,                0.00265,                0.00165,                  1.823,                 5.2982,                 3.8598,                  2.112,              4.967e-05,              4.967e-05,              4.967e-05
                      4,                   1.26,                 5.0061,                 3.8331,                 1.4653,                0.00094,                0.33333,                0.02232,                0.01582,                 0.0007,                0.27778,                0.01619,                0.01404,                 1.8271,                 5.4557,                 3.8505,                 2.1125,             6.9307e-05,             6.9307e-05,             6.9307e-05
                      5,                 1.5099,                 3.1791,                 3.8093,                 1.5438,                0.00097,                0.33333,                0.02667,                0.01181,                0.00097,                0.33333,                0.01186,                0.00482,                 1.3824,                 4.1914,                 3.6886,                 1.7631,             8.8812e-05,             8.8812e-05,             8.8812e-05
                      6,                 1.0889,                 2.7507,                 3.7208,                 1.3072,                0.00484,                0.58333,                  0.037,                0.01957,                0.00181,                    0.5,                0.06068,                0.02353,                 1.0551,                 4.1484,                 3.6612,                 1.5299,             0.00010818,             0.00010818,             0.00010818
                      7,                 1.4909,                 2.7302,                 3.7578,                 1.5242,                0.00362,                0.58333,                0.11837,                0.05047,                0.00183,                    0.5,                0.19539,                0.07848,                 1.0147,                 4.3236,                 3.6916,                 1.5029,             0.00012743,             0.00012743,             0.00012743
                      8,                0.78071,                 1.8793,                 3.5169,                 1.1787,                0.00429,                0.66667,                 0.1247,                0.04406,                0.00193,                    0.5,                0.19621,                0.07632,                 1.0738,                  4.351,                 3.6777,                 1.5736,             0.00014653,             0.00014653,             0.00014653
                      9,                0.77617,                  2.666,                 3.5681,                 1.2322,                 0.0034,                0.58333,                0.06627,                0.03865,                0.00203,                    0.5,                 0.2096,                0.09054,                 1.0299,                 4.7039,                 3.6919,                 1.5677,             0.00016551,             0.00016551,             0.00016551
                     10,                 1.0851,                  2.484,                 3.4751,                 1.4551,                0.00366,                0.58333,                0.05631,                0.02775,                0.00228,                    0.5,                0.20578,                 0.0826,                0.97978,                 4.4142,                 3.7546,                 1.5987,             0.00018436,             0.00018436,             0.00018436
                     11,                 1.2497,                  2.388,                  3.736,                 1.2803,                 0.0027,                    0.5,                0.10669,                 0.0717,                 0.0027,                    0.5,                0.25053,                0.11548,                 1.0291,                 4.0852,                 3.7281,                 1.6114,             0.00020307,             0.00020307,             0.00020307
                     12,                0.85765,                 2.4685,                 3.4576,                 1.1943,                0.00315,                    0.5,                0.11154,                0.07654,                0.00315,                    0.5,                0.24421,                0.11617,                 1.0818,                 4.3119,                 3.6926,                 1.7026,             0.00022165,             0.00022165,             0.00022165
                     13,                0.88298,                 1.8958,                 3.3625,                 1.2071,                0.00486,                    0.5,                0.24307,                0.12015,                0.00486,                    0.5,                0.24307,                0.14917,                 1.1159,                 4.5461,                 3.6969,                 1.6906,              0.0002401,              0.0002401,              0.0002401
                     14,                0.72452,                 1.6862,                 3.0687,                 1.0746,                0.00535,                    0.5,                0.15445,                0.12605,                0.00535,                    0.5,                0.15445,                0.08115,                 1.1646,                 4.9055,                 3.6566,                 1.7134,             0.00025842,             0.00025842,             0.00025842
                     15,                 0.7191,                 1.8044,                  3.079,                 1.1189,                0.00537,                    0.5,                0.13345,                0.10308,                0.00537,                    0.5,                0.13345,                0.06444,                 1.4283,                 5.8806,                 3.6937,                 1.9928,              0.0002766,              0.0002766,              0.0002766
                     16,                  1.033,                 2.0367,                 3.2498,                 1.1302,                0.00489,                    0.5,                0.20134,                0.14745,                0.00489,                    0.5,                0.17331,                0.10369,                 1.5778,                 6.3334,                 3.6932,                 2.2408,             0.00029466,             0.00029466,             0.00029466
                     17,                  1.714,                 2.3164,                 3.6359,                 2.1773,                 0.0059,                0.58333,                0.20047,                0.08719,                0.00452,                    0.5,                0.18999,                0.11071,                 1.6663,                 5.7461,                 3.6814,                 2.3802,             0.00031258,             0.00031258,             0.00031258
                     18,                 1.0115,                  2.755,                 2.8904,                 1.1988,                0.00597,                0.66667,                0.10553,                0.05899,                0.00401,                    0.5,                0.10288,                0.05241,                  1.651,                 5.6873,                 3.6493,                 2.3484,             0.00033036,             0.00033036,             0.00033036
                     19,                 1.0216,                 2.5274,                 2.7443,                 1.1961,                0.00592,                0.66667,                0.11307,                0.06287,                0.00387,                    0.5,                0.10494,                 0.0569,                 1.6089,                 5.6444,                   3.61,                   2.29,             0.00034802,             0.00034802,             0.00034802
                     20,                0.75055,                 1.7106,                 2.6365,                 1.0953,                0.00436,                0.58333,                0.07241,                0.02941,                0.00328,                0.44444,                0.06097,                0.02615,                 1.6916,                 5.4559,                 3.6699,                 2.3088,             0.00036555,             0.00036555,             0.00036555
                     21,                0.89901,                 1.5152,                 2.5819,                 1.1876,                0.00514,                0.66667,                0.04167,                0.02626,                0.00311,                0.38889,                0.03291,                0.01121,                 1.6824,                 5.2722,                 3.5802,                 2.2569,             0.00038294,             0.00038294,             0.00038294
                     22,                  0.669,                 1.0893,                 2.4862,                 1.0789,                0.00499,                0.66667,                0.04845,                 0.0351,                0.00306,                0.38889,                0.04037,                0.01817,                 1.5546,                 5.3003,                 3.5742,                 2.1683,              0.0004002,              0.0004002,              0.0004002
                     23,                 1.0397,                 2.2067,                 2.6608,                 1.3615,                0.00465,                0.66667,                0.09736,                0.07523,                0.00278,                0.38889,                0.08954,                0.04548,                 1.4957,                 5.3934,                 3.5465,                 2.1204,             0.00041733,             0.00041733,             0.00041733
                     24,                 1.2159,                 2.3655,                 2.7882,                  1.144,                0.00423,                0.66667,                0.18653,                0.07834,                0.00237,                0.38889,                0.17538,                0.06133,                 1.6353,                 5.3374,                 3.5139,                 2.1594,             0.00043433,             0.00043433,             0.00043433
                     25,                 1.0987,                 1.9213,                 2.3529,                  1.092,                0.00429,                0.66667,                0.18316,                 0.0804,                  0.003,                0.44444,                0.17783,                0.05979,                  1.819,                 5.4971,                 3.4734,                 2.2761,             0.00045119,             0.00045119,             0.00045119
                     26,                 0.9706,                 1.8268,                 2.2495,                 1.1294,                0.00432,                0.66667,                0.10623,                0.04656,                0.00357,                    0.5,                0.09974,                0.03095,                 1.6789,                 5.3717,                 3.4005,                 2.0717,             0.00046792,             0.00046792,             0.00046792
                     27,                0.76965,                 2.1339,                 1.7923,                 1.0396,                0.00438,                0.66667,                0.15593,                0.06952,                0.00306,                0.44444,                0.14923,                0.06413,                 1.7439,                 4.7881,                 3.3422,                 2.0145,             0.00048453,             0.00048453,             0.00048453
                     28,                 1.2792,                 2.7054,                 2.5611,                 1.1623,                0.00438,                0.66667,                0.15593,                0.06952,                0.00306,                0.44444,                0.14923,                0.06413,                 1.7439,                 4.7881,                 3.3422,                 2.0145,               0.000501,               0.000501,               0.000501
                     29,                 1.0675,                 1.9283,                 2.5896,                 1.2005,                0.00433,                0.66667,                0.12218,                0.06845,                0.00356,                    0.5,                0.12132,                0.07351,                 1.8558,                 4.4398,                 3.2682,                 2.1083,             0.00051733,             0.00051733,             0.00051733
                     30,                0.95611,                 1.2293,                 1.7679,                  1.038,                0.00384,                0.58333,                0.09673,                0.06037,                0.00342,                    0.5,                0.12101,                0.06722,                 1.6645,                 4.6254,                 3.2363,                 2.1353,             0.00053354,             0.00053354,             0.00053354
                     31,                0.96921,                 1.4227,                 4.0595,                 1.2727,                0.00384,                0.58333,                0.09673,                0.06037,                0.00342,                    0.5,                0.12101,                0.06722,                 1.6645,                 4.6254,                 3.2363,                 2.1353,             0.00054961,             0.00054961,             0.00054961
                     32,                0.69362,                 2.7643,                 3.0069,                 1.1587,                0.00496,                0.58333,                0.05009,                0.01707,                0.00353,                    0.5,                0.05242,                0.02073,                 1.6153,                  4.896,                 3.2471,                 1.9994,             0.00056555,             0.00056555,             0.00056555
                     33,                 1.1832,                 1.8121,                 2.7277,                 1.4486,                0.00665,                0.91667,                0.08855,                0.02863,                 0.0031,                0.44444,                0.05313,                0.02266,                 1.5384,                 5.7267,                 3.2315,                 1.8456,             0.00058136,             0.00058136,             0.00058136
                     34,                0.95726,                  1.608,                 1.6108,                 1.0476,                0.00665,                0.91667,                0.08855,                0.02863,                 0.0031,                0.44444,                0.05313,                0.02266,                 1.5384,                 5.7267,                 3.2315,                 1.8456,             0.00059704,             0.00059704,             0.00059704
                     35,                0.87658,                 1.5694,                 1.9781,                 1.1794,                0.00673,                      1,                0.14285,                0.04126,                0.00349,                    0.5,                0.09534,                0.04627,                 1.3789,                 5.3936,                 3.2229,                 1.7713,             0.00061258,             0.00061258,             0.00061258
                     36,                 1.1194,                 1.6504,                 2.0935,                 1.3728,                0.00627,                0.91667,                 0.1269,                0.06403,                0.00381,                    0.5,                0.10423,                0.05872,                 1.3176,                 5.3989,                 3.2264,                 1.7389,             0.00062799,             0.00062799,             0.00062799
                     37,                0.87271,                 1.4175,                 1.8275,                 1.1192,                0.00627,                0.91667,                 0.1269,                0.06403,                0.00381,                    0.5,                0.10423,                0.05872,                 1.3176,                 5.3989,                 3.2264,                 1.7389,             0.00064328,             0.00064328,             0.00064328
                     38,                0.74149,                 1.3201,                 1.7193,                 1.0849,                0.00608,                0.91667,                0.10598,                0.06576,                0.00176,                0.19444,                 0.0613,                0.04842,                 1.3596,                 7.4376,                 3.1679,                  1.837,             0.00065843,             0.00065843,             0.00065843
                     39,                 1.4009,                 1.8647,                 2.4846,                 1.4456,                0.00591,                0.91667,                0.09629,                0.05593,                0.00198,                0.19444,                0.06236,                0.05343,                 1.6084,                 10.485,                 3.2039,                 2.0432,             0.00067344,             0.00067344,             0.00067344
                     40,                0.90972,                   1.46,                 2.0232,                 1.0411,                0.00591,                0.91667,                0.09629,                0.05593,                0.00198,                0.19444,                0.06236,                0.05343,                 1.6084,                 10.485,                 3.2039,                 2.0432,             0.00068833,             0.00068833,             0.00068833
                     41,                0.86081,                 1.4885,                 1.7347,                 1.0082,                0.00485,                   0.75,                0.10745,                0.05662,                0.00154,                0.11111,                0.06032,                0.04657,                 1.4266,                 9.7447,                 3.2137,                 1.8015,             0.00070308,             0.00070308,             0.00070308
                     42,                0.99824,                 1.4012,                 1.8639,                 1.2948,                0.02513,                0.27778,                0.09176,                0.06424,                0.02513,                0.27778,                0.08476,                 0.0559,                 1.5033,                 9.9724,                 3.2994,                  1.996,              0.0007177,              0.0007177,              0.0007177
                     43,                 1.1638,                  1.689,                  1.909,                 1.0753,                0.02513,                0.27778,                0.09176,                0.06424,                0.02513,                0.27778,                0.08476,                 0.0559,                 1.5033,                 9.9724,                 3.2994,                  1.996,             0.00073219,             0.00073219,             0.00073219
                     44,                 1.6838,                 2.2306,                 2.8752,                 1.7867,                0.16667,                0.09548,                0.12375,                0.08596,                0.16667,                0.09548,                0.11771,                0.09209,                 1.5831,                  8.779,                 3.5351,                 2.2341,             0.00074655,             0.00074655,             0.00074655
                     45,                 1.0748,                 1.3937,                  1.895,                 1.2233,                0.16667,                0.09548,                0.12375,                0.08596,                0.16667,                0.09548,                0.11771,                0.09209,                 1.5831,                  8.779,                 3.5351,                 2.2341,             0.00076077,             0.00076077,             0.00076077
                     46,                0.72255,                 1.4732,                 2.3421,                 1.1221,                0.00574,                0.94444,                0.04711,                 0.0227,                0.36491,                0.16667,                0.07468,                0.03397,                 1.6703,                 7.2981,                 3.7043,                 2.2582,             0.00077487,             0.00077487,             0.00077487
                     47,                 0.7068,                0.70311,                 1.1754,                0.96269,                0.00574,                0.94444,                0.04711,                 0.0227,                0.36491,                0.16667,                0.07468,                0.03397,                 1.6703,                 7.2981,                 3.7043,                 2.2582,             0.00078883,             0.00078883,             0.00078883
                     48,                 1.3379,                  2.158,                 2.0984,                 1.2793,                0.00508,                0.77778,                0.02736,                0.01317,                0.37848,                0.16667,                0.07889,                0.01729,                 1.7186,                  7.201,                 3.7706,                 2.3728,             0.00080265,             0.00080265,             0.00080265
                     49,                 1.2987,                  2.504,                 2.3349,                 1.4119,                0.00508,                0.77778,                0.02736,                0.01317,                0.37848,                0.16667,                0.07889,                0.01729,                 1.7186,                  7.201,                 3.7706,                 2.3728,             0.00081635,             0.00081635,             0.00081635
                     50,                0.97098,                 1.6102,                 1.7436,                 1.2169,                0.00489,                0.77778,                0.02505,                0.01505,                0.54031,                0.16667,                0.07436,                 0.0292,                 1.5921,                 7.1921,                 3.6017,                 1.9176,             0.00082992,             0.00082992,             0.00082992
                     51,                0.96306,                 1.8429,                 1.5377,                 1.1784,                0.00489,                0.77778,                0.02505,                0.01505,                0.54031,                0.16667,                0.07436,                 0.0292,                 1.5921,                 7.1921,                 3.6017,                 1.9176,               0.000835,               0.000835,               0.000835
                     52,                 1.0659,                 2.0722,                 1.7033,                 1.1621,                0.00622,                      1,                0.03853,                0.01352,                0.38744,                0.16233,                0.06922,                0.02461,                 1.5992,                 6.0054,                 3.5766,                 2.0029,              0.0008317,              0.0008317,              0.0008317
                     53,                 1.2075,                 1.5219,                 2.8609,                 1.3068,                0.00622,                      1,                0.03853,                0.01352,                0.38744,                0.16233,                0.06922,                0.02461,                 1.5992,                 6.0054,                 3.5766,                 2.0029,              0.0008284,              0.0008284,              0.0008284
                     54,                0.89324,                 1.0799,                 1.4321,                 1.0838,                0.00451,                   0.75,                0.07134,                 0.0222,                0.01577,                0.16667,                0.07469,                0.02966,                 1.5638,                 5.5177,                 3.2864,                 2.1197,              0.0008251,              0.0008251,              0.0008251
                     55,                0.96899,                 1.5414,                 1.5273,                 1.1206,                0.00451,                   0.75,                0.07134,                 0.0222,                0.01577,                0.16667,                0.07469,                0.02966,                 1.5638,                 5.5177,                 3.2864,                 2.1197,              0.0008218,              0.0008218,              0.0008218
                     56,                 0.8837,                 1.3542,                  1.628,                 1.0726,                0.00473,                0.83333,                0.26752,                0.06228,                0.54696,                0.08333,                0.28363,                0.08811,                 1.5411,                 4.7168,                 3.1311,                 2.1292,              0.0008185,              0.0008185,              0.0008185
                     57,                0.98483,                   1.19,                 1.6376,                  1.044,                0.00473,                0.83333,                0.26752,                0.06228,                0.54696,                0.08333,                0.28363,                0.08811,                 1.5411,                 4.7168,                 3.1311,                 2.1292,              0.0008152,              0.0008152,              0.0008152
                     58,                0.89427,                 1.4444,                 1.2538,                 1.0026,                0.03324,                0.58333,                0.18443,                0.10719,                0.03324,                0.58333,                0.32127,                0.13146,                 1.4596,                 5.1758,                 3.0343,                 2.0596,              0.0008119,              0.0008119,              0.0008119
                     59,                0.81418,                 1.1016,                 1.1758,                 1.0198,                0.03324,                0.58333,                0.18443,                0.10719,                0.03324,                0.58333,                0.32127,                0.13146,                 1.4596,                 5.1758,                 3.0343,                 2.0596,              0.0008086,              0.0008086,              0.0008086
                     60,                  0.864,                 1.1337,                 3.1384,                 1.3405,                0.98854,                0.16667,                 0.2333,                0.11092,                0.98854,                0.16667,                 0.2241,                 0.1264,                 1.4743,                  5.867,                 2.9965,                 2.3057,              0.0008053,              0.0008053,              0.0008053
                     61,                 0.9046,                 1.3708,                 1.4068,                 1.0508,                0.98854,                0.16667,                 0.2333,                0.11092,                0.98854,                0.16667,                 0.2241,                 0.1264,                 1.4743,                  5.867,                 2.9965,                 2.3057,               0.000802,               0.000802,               0.000802
                     62,                0.86103,                 1.4976,                 1.3235,                 1.1544,                0.90945,                0.16667,                0.10688,                0.06496,                 0.9135,                0.16667,                0.19781,                0.06761,                 1.5124,                 7.1664,                 2.9924,                 2.4983,              0.0007987,              0.0007987,              0.0007987
                     63,                 1.0515,                0.79771,                 2.3764,                 1.4295,                0.90945,                0.16667,                0.10688,                0.06496,                 0.9135,                0.16667,                0.19781,                0.06761,                 1.5124,                 7.1664,                 2.9924,                 2.4983,              0.0007954,              0.0007954,              0.0007954
                     64,                0.66174,                0.68665,                 2.4207,                 1.1577,                 0.0059,                      1,                 0.0849,                0.03304,                0.75261,                0.16667,                0.18817,                0.05135,                 1.7051,                 8.0711,                 3.2285,                 2.6184,              0.0007921,              0.0007921,              0.0007921
                     65,                0.68561,                0.86391,                 1.5998,                  1.081,                 0.0059,                      1,                 0.0849,                0.03304,                0.75261,                0.16667,                0.18817,                0.05135,                 1.7051,                 8.0711,                 3.2285,                 2.6184,              0.0007888,              0.0007888,              0.0007888
                     66,                0.68871,                 1.9739,                 1.7343,                 1.0684,                0.00605,                      1,                0.04646,                0.01869,                0.00413,                0.66667,                0.09334,                0.03245,                 1.8307,                 8.2063,                 3.3207,                 2.9544,              0.0007855,              0.0007855,              0.0007855
                     67,                0.79509,                 1.5995,                 1.3956,                 1.1369,                0.00605,                      1,                0.04646,                0.01869,                0.00413,                0.66667,                0.09334,                0.03245,                 1.8307,                 8.2063,                 3.3207,                 2.9544,              0.0007822,              0.0007822,              0.0007822
                     68,                 1.0588,                 1.7462,                 1.7337,                 1.0621,                 0.0383,                    0.5,                0.16201,                0.06096,                 0.0383,                    0.5,                0.15604,                0.07411,                 1.8851,                 7.2654,                  3.306,                 2.7673,              0.0007789,              0.0007789,              0.0007789
                     69,                0.90347,                 1.4188,                 1.7072,                 1.0534,                 0.0383,                    0.5,                0.16201,                0.06096,                 0.0383,                    0.5,                0.15604,                0.07411,                 1.8851,                 7.2654,                  3.306,                 2.7673,              0.0007756,              0.0007756,              0.0007756
                     70,                0.70079,                0.97853,                 2.1341,                 1.0097,                0.45371,                0.22222,                0.20684,                0.11182,                0.45371,                0.22222,                0.20771,                0.11554,                 1.8066,                 6.5374,                 3.3169,                 2.3591,              0.0007723,              0.0007723,              0.0007723
                     71,                0.95008,                 1.2162,                 1.2618,                0.99102,                0.45371,                0.22222,                0.20684,                0.11182,                0.45371,                0.22222,                0.20771,                0.11554,                 1.8066,                 6.5374,                 3.3169,                 2.3591,               0.000769,               0.000769,               0.000769
                     72,                 1.2175,                0.93716,                  2.219,                 1.1827,                0.54264,                0.25815,                0.21114,                 0.1535,                0.54264,                0.25815,                 0.2088,                0.13104,                 1.9353,                 4.8329,                 3.0676,                 2.2924,              0.0007657,              0.0007657,              0.0007657
                     73,                0.80535,                0.85772,                 2.6315,                 1.3146,                0.54264,                0.25815,                0.21114,                 0.1535,                0.54264,                0.25815,                 0.2088,                0.13104,                 1.9353,                 4.8329,                 3.0676,                 2.2924,              0.0007624,              0.0007624,              0.0007624
                     74,                0.82083,                 1.2214,                 1.3812,                 1.0939,                0.63201,                0.24126,                0.22903,                0.17821,                0.63201,                0.24126,                0.23661,                0.16249,                 2.0619,                  4.333,                 3.3445,                  2.225,              0.0007591,              0.0007591,              0.0007591
                     75,                0.74807,                 1.1362,                 1.2314,                0.94894,                0.63201,                0.24126,                0.22903,                0.17821,                0.63201,                0.24126,                0.23661,                0.16249,                 2.0619,                  4.333,                 3.3445,                  2.225,              0.0007558,              0.0007558,              0.0007558
                     76,                 1.8979,                  4.646,                 3.3967,                 2.2854,                0.39748,                0.16667,                0.23136,                0.16522,                0.43465,                0.20384,                0.23254,                0.16206,                 1.8134,                  4.195,                 3.8275,                  2.075,              0.0007525,              0.0007525,              0.0007525
                     77,                0.98546,                 1.4453,                 1.5353,                 1.0722,                0.39748,                0.16667,                0.23136,                0.16522,                0.43465,                0.20384,                0.23254,                0.16206,                 1.8134,                  4.195,                 3.8275,                  2.075,              0.0007492,              0.0007492,              0.0007492
                     78,                0.85851,                 1.6653,                 1.3701,                 1.0929,                0.46378,                0.19167,                 0.2508,                0.18662,                0.46378,                0.19167,                 0.2508,                0.14368,                 1.7993,                 4.4497,                 3.6114,                 2.0949,              0.0007459,              0.0007459,              0.0007459
                     79,                0.80468,                 2.2729,                 1.7357,                 1.1839,                0.46378,                0.19167,                 0.2508,                0.18662,                0.46378,                0.19167,                 0.2508,                0.14368,                 1.7993,                 4.4497,                 3.6114,                 2.0949,              0.0007426,              0.0007426,              0.0007426
                     80,                0.90878,                 1.4149,                 1.2059,                 1.0264,                0.08985,                0.16667,                0.20776,                0.16396,                0.08985,                0.16667,                0.20776,                0.13823,                 1.8751,                 4.5369,                 3.6273,                 2.1652,              0.0007393,              0.0007393,              0.0007393
                     81,                 1.0561,                 1.7044,                  1.658,                 1.3292,                0.08985,                0.16667,                0.20776,                0.16396,                0.08985,                0.16667,                0.20776,                0.13823,                 1.8751,                 4.5369,                 3.6273,                 2.1652,               0.000736,               0.000736,               0.000736
                     82,                   1.06,                 2.1255,                 1.7692,                 1.4492,                0.07084,                0.22222,                 0.1142,                0.09056,                0.07084,                0.22222,                0.11352,                0.07637,                  1.955,                 4.3782,                 3.9713,                 2.3466,              0.0007327,              0.0007327,              0.0007327
                     83,                0.91626,                 1.8565,                 1.5743,                  1.144,                0.07084,                0.22222,                 0.1142,                0.09056,                0.07084,                0.22222,                0.11352,                0.07637,                  1.955,                 4.3782,                 3.9713,                 2.3466,              0.0007294,              0.0007294,              0.0007294
                     84,                0.79155,                 1.1758,                 1.1028,                 1.0428,                0.04294,                0.34713,                0.08623,                0.06093,                0.04294,                0.34713,                0.09015,                0.04613,                 1.6897,                 4.7049,                 4.1478,                 2.2309,              0.0007261,              0.0007261,              0.0007261
                     85,                0.79969,                 1.2217,                 1.3028,                 1.0563,                0.04294,                0.34713,                0.08623,                0.06093,                0.04294,                0.34713,                0.09015,                0.04613,                 1.6897,                 4.7049,                 4.1478,                 2.2309,              0.0007228,              0.0007228,              0.0007228
                     86,                0.91565,                 1.3951,                  1.319,                 1.0403,                 0.0746,                0.22222,                0.07854,                0.05113,                0.09157,                0.38889,                0.09717,                0.04165,                 1.6175,                 4.6044,                  4.557,                 2.2007,              0.0007195,              0.0007195,              0.0007195
                     87,                0.94228,                 1.1884,                 1.2906,                 1.0582,                 0.0746,                0.22222,                0.07854,                0.05113,                0.09157,                0.38889,                0.09717,                0.04165,                 1.6175,                 4.6044,                  4.557,                 2.2007,              0.0007162,              0.0007162,              0.0007162
                     88,                0.83666,                 1.2043,                0.91764,                 1.0158,                0.05518,                0.22222,                0.07097,                0.04561,                0.06435,                0.22222,                0.07501,                0.03942,                 1.6602,                 4.4689,                 5.8895,                 2.2365,              0.0007129,              0.0007129,              0.0007129
                     89,                0.88952,                 1.2908,                 1.2485,                0.98496,                0.05518,                0.22222,                0.07097,                0.04561,                0.06435,                0.22222,                0.07501,                0.03942,                 1.6602,                 4.4689,                 5.8895,                 2.2365,              0.0007096,              0.0007096,              0.0007096
                     90,                0.81865,                 1.0324,                0.98984,                0.96045,                0.02556,                0.27778,                0.06765,                0.05168,                 0.2124,                0.38138,                0.07484,                0.03552,                 1.5848,                 4.4244,                 7.3435,                 2.0388,              0.0007063,              0.0007063,              0.0007063
                     91,                0.67652,                 1.6764,                 1.5358,                 1.0531,                0.02556,                0.27778,                0.06765,                0.05168,                 0.2124,                0.38138,                0.07484,                0.03552,                 1.5848,                 4.4244,                 7.3435,                 2.0388,               0.000703,               0.000703,               0.000703
                     92,                0.79495,                 1.1444,                 1.1042,                0.97681,                0.51783,                0.22222,                0.04615,                0.03847,                0.52577,                0.38889,                  0.058,                0.02339,                 1.6561,                  4.775,                 6.9917,                 2.0752,              0.0006997,              0.0006997,              0.0006997
                     93,                0.66264,                0.88199,                 1.1443,                 1.0005,                0.51783,                0.22222,                0.04615,                0.03847,                0.52577,                0.38889,                  0.058,                0.02339,                 1.6561,                  4.775,                 6.9917,                 2.0752,              0.0006964,              0.0006964,              0.0006964
                     94,                0.92067,                 1.4655,                  1.302,                 1.2105,                0.51912,                0.05556,                0.01873,                0.01578,                0.52842,                0.22222,                0.03075,                0.01551,                  1.652,                 4.5837,                  5.752,                 2.0183,              0.0006931,              0.0006931,              0.0006931
                     95,                0.80676,                  1.098,                 1.1876,                0.93395,                0.51912,                0.05556,                0.01873,                0.01578,                0.52842,                0.22222,                0.03075,                0.01551,                  1.652,                 4.5837,                  5.752,                 2.0183,              0.0006898,              0.0006898,              0.0006898
