                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0323,                 3.6743,                 3.7862,                 1.3911,                0.00098,                0.33333,                0.00235,                0.00107,                0.00073,                0.27778,                 0.0009,                0.00067,                 1.8648,                 5.2309,                  3.887,                  2.237,                  1e-05,                  1e-05,                  1e-05
                      2,                 1.2944,                 3.8607,                 3.8517,                 1.4347,                0.00092,                0.33333,                  0.007,                0.00343,                0.00069,                0.27778,                0.00404,                0.00278,                 1.8323,                 5.2376,                  3.878,                 2.1535,             2.9703e-05,             2.9703e-05,             2.9703e-05
                      3,                0.82863,                 2.9498,                 3.5398,                 1.2371,                0.00094,                0.33333,                0.00339,                0.00192,                 0.0007,                0.27778,                0.00283,                0.00175,                 1.8262,                 5.2872,                 3.8608,                 2.1142,              4.901e-05,              4.901e-05,              4.901e-05
                      4,                 1.2635,                  5.009,                 3.8338,                 1.4669,                0.00094,                0.33333,                0.02334,                0.01708,                 0.0007,                0.27778,                0.01664,                 0.0169,                 1.8281,                 5.4538,                   3.85,                 2.1131,             6.7921e-05,             6.7921e-05,             6.7921e-05
                      5,                 1.5153,                 3.2054,                 3.8037,                 1.5458,                0.00097,                0.33333,                0.02528,                0.01023,                0.00097,                0.33333,                0.00965,                0.00411,                 1.3518,                 4.2448,                 3.6889,                 1.7788,             8.6436e-05,             8.6436e-05,             8.6436e-05
                      6,                 1.0935,                 2.7758,                 3.7186,                 1.3107,                0.00187,                    0.5,                  0.056,                0.02956,                0.00187,                    0.5,                 0.1943,                0.03575,                 1.0854,                  4.192,                 3.6601,                 1.5305,             0.00010456,             0.00010456,             0.00010456
                      7,                 1.5307,                 2.7692,                 3.7466,                 1.5352,                0.00186,                    0.5,                 0.1106,                0.04684,                0.00186,                    0.5,                0.19351,                0.07722,                0.94204,                 4.3045,                  3.659,                 1.4378,             0.00012228,             0.00012228,             0.00012228
                      8,                0.73909,                 1.9207,                 3.5313,                 1.1877,                0.00325,                0.58333,                0.16308,                0.08651,                0.00189,                    0.5,                0.23193,                0.09154,                0.97228,                 3.9684,                 3.6591,                 1.4185,             0.00013961,             0.00013961,             0.00013961
                      9,                  0.773,                 2.4617,                 3.5608,                 1.1921,                0.00325,                0.58333,                0.19581,                0.08784,                0.00201,                    0.5,                 0.1928,                0.11615,                 1.0474,                 3.7749,                 3.6483,                 1.4716,             0.00015654,             0.00015654,             0.00015654
                     10,                 1.0921,                 2.4333,                  3.455,                 1.4475,                0.00222,                    0.5,                0.19985,                0.07198,                0.00222,                    0.5,                0.19985,                0.09673,                 1.0491,                 4.5875,                 3.7098,                 1.5353,             0.00017307,             0.00017307,             0.00017307
                     11,                 1.2362,                 2.4108,                 3.7139,                 1.2832,                0.00276,                    0.5,                 0.1989,                0.04009,                0.00251,                0.44444,                0.19165,                0.07851,                 1.1506,                 4.2942,                 3.7253,                 1.6188,             0.00018921,             0.00018921,             0.00018921
                     12,                 1.0134,                 3.0559,                 3.5163,                  1.237,                0.00313,                    0.5,                0.19182,                0.03829,                0.00288,                0.44444,                0.19047,                0.07857,                 1.2153,                 4.3601,                 3.7864,                 1.6976,             0.00020495,             0.00020495,             0.00020495
                     13,                0.92084,                 1.8945,                 3.4056,                 1.1933,                0.00586,                    0.5,                0.05171,                0.02838,                0.00586,                    0.5,                0.18989,                0.07941,                 1.3265,                 4.8465,                  3.749,                 1.8368,              0.0002203,              0.0002203,              0.0002203
                     14,                0.80768,                 1.7135,                 3.0972,                 1.1097,                0.00652,                    0.5,                0.20048,                0.04121,                0.00652,                    0.5,                0.20048,                0.07638,                 1.3775,                 5.0612,                 3.7781,                 1.8656,             0.00023525,             0.00023525,             0.00023525
                     15,                0.71026,                  1.718,                 3.0773,                 1.1017,                0.00741,                    0.5,                0.07438,                0.03442,                0.00741,                    0.5,                0.20594,                0.05205,                  1.494,                 5.6278,                 3.7587,                 1.9972,             0.00024981,             0.00024981,             0.00024981
                     16,                 1.0788,                 2.0452,                 3.3917,                 1.2087,                0.00593,                    0.5,                0.12501,                0.04093,                0.00593,                    0.5,                0.11648,                0.04007,                 1.6577,                 5.9305,                  3.723,                 2.1452,             0.00026397,             0.00026397,             0.00026397
                     17,                 1.8038,                 2.4302,                  4.042,                 1.9495,                0.00676,                0.58333,                 0.1038,                0.04214,                0.00496,                0.44444,                0.08194,                0.03795,                 1.6478,                 6.2896,                 3.7423,                 2.1565,             0.00027773,             0.00027773,             0.00027773
                     18,                0.87998,                 2.5254,                  2.942,                 1.1852,                0.00606,                0.58333,                0.09261,                0.03827,                0.00452,                0.44444,                0.05948,                 0.0285,                 1.7697,                 6.7706,                  3.658,                  2.292,              0.0002911,              0.0002911,              0.0002911
                     19,                0.99452,                 2.0386,                 2.7271,                 1.1827,                0.00536,                0.58333,                0.09251,                0.03733,                0.00392,                0.44444,                0.08326,                 0.0258,                 1.7974,                 7.0052,                 3.6235,                 2.3271,             0.00030407,             0.00030407,             0.00030407
                     20,                0.91427,                 1.6662,                 2.7035,                 1.1379,                0.00484,                0.58333,                0.11933,                0.04676,                0.00392,                    0.5,                 0.1158,                0.04729,                 1.9283,                 7.3398,                 3.6038,                  2.474,             0.00031664,             0.00031664,             0.00031664
